date,host,src,port,dst,port,protocol,num,if,recv,pkts,bytes,send,pkts,bytes,
2014-9-11 15:43:45,vps172160149,172.16.0.55,3689,255.255.255.255,9200,udp,17,eth0,recv,1,33,send,0,0,
2014-9-11 15:43:46,vps172160149,172.16.0.158,138,172.16.0.255,138,udp,17,eth0,recv,1,242,send,0,0,
2014-9-11 15:44:14,vps172160149,172.16.0.56,138,172.16.0.255,138,udp,17,eth0,recv,1,229,send,0,0,
2014-9-11 15:44:14,vps172160149,172.16.0.55,3741,255.255.255.255,9200,udp,17,eth0,recv,1,33,send,0,0,
2014-9-11 15:44:19,vps172160149,172.16.0.170,5353,224.0.0.251,5353,udp,17,eth0,recv,1,73,send,0,0,
2014-9-11 15:44:29,vps172160149,172.16.0.45,138,172.16.0.255,138,udp,17,eth0,recv,1,229,send,0,0,
2014-9-11 15:44:45,vps172160149,172.16.0.55,3768,255.255.255.255,9200,udp,17,eth0,recv,1,33,send,0,0,
2014-9-11 15:44:51,vps172160149,172.16.0.35,138,172.16.0.255,138,udp,17,eth0,recv,1,229,send,0,0,
2014-9-11 15:45:11,vps172160149,172.16.0.129,137,172.16.0.255,137,udp,17,eth0,recv,1,78,send,0,0,
2014-9-11 15:45:15,vps172160149,172.16.0.55,3819,255.255.255.255,9200,udp,17,eth0,recv,1,33,send,0,0,
2014-9-11 15:45:31,vps172160149,172.16.0.149,138,172.16.0.255,138,udp,17,null,recv,1,268,send,0,0,
2014-9-11 15:45:45,vps172160149,172.16.0.55,3842,255.255.255.255,9200,udp,17,eth0,recv,1,33,send,0,0,
2014-9-11 15:45:51,vps172160149,172.16.0.105,137,172.16.0.255,137,udp,17,eth0,recv,1,78,send,0,0,
2014-9-11 15:45:55,vps172160149,172.16.0.206,138,172.16.0.255,138,udp,17,eth0,recv,1,229,send,0,0,
